Date,Open,Low,High,Close,Volume,OI
2019/9/25,295.959991,294.329987,298.109985,297.619995,71854000,0
2019/9/26,297.630005,295.450012,297.859985,297,56179700,0
2019/9/27,297.829987,293.690002,297.950012,295.399994,84746600,0
2019/9/30,295.970001,295.920013,297.549988,296.769989,51662400,0
2019/10/1,297.73999,293,298.459991,293.23999,88242400,0
2019/10/2,291.5,286.640015,291.51001,288.059998,122539500,0
2019/10/3,287.809998,284.820007,290.450012,290.420013,85278800,0
2019/10/4,291.140015,291.079987,294.630005,294.350006,65091200,0
2019/10/7,293.470001,292.769989,295.26001,293.079987,59610500,0
2019/10/8,291.040009,288.48999,291.850006,288.529999,95708100,0
2019/10/9,290.75,290.059998,292.299988,291.269989,62359400,0
2019/10/10,291.179993,291,294.209991,293.23999,55296300,0
2019/10/11,296.269989,296.140015,298.73999,296.279999,98720400,0
2019/10/14,295.929993,295.570007,296.670013,295.950012,40394800,0
2019/10/15,297.100006,296.970001,299.700012,298.880005,46754500,0
2019/10/16,298.369995,297.920013,299.160004,298.399994,48928200,0
2019/10/17,299.679993,298.519989,300.23999,299.279999,45736600,0
2019/10/18,298.690002,297.029999,299.399994,297.970001,64304000,0
2019/10/21,299.420013,298.940002,300.209991,299.98999,39048600,0
2019/10/22,300.579987,298.910004,300.899994,299.01001,48594700,0
2019/10/23,298.730011,298.5,299.940002,299.880005,34352200,0
2019/10/24,300.910004,299.459991,301.070007,300.369995,35453100,0
2019/10/25,299.73999,299.679993,302.200012,301.600006,45205400,0
2019/10/28,302.940002,302.910004,303.850006,303.299988,42147000,0
2019/10/29,303,302.859985,304.230011,303.209991,44284900,0
2019/10/30,303.429993,301.98999,304.549988,304.140015,49643900,0
2019/10/31,304.130005,301.730011,304.130005,303.329987,69053800,0
2019/11/1,304.920013,304.73999,306.190002,306.140015,71141500,0
2019/11/4,307.850006,306.959991,308,307.369995,60606900,0
2019/11/5,307.589996,306.709991,307.920013,307.029999,42933200,0
2019/11/6,307.029999,306.059998,307.399994,307.100006,46487100,0
2019/11/7,308.570007,307.660004,309.649994,308.179993,54272300,0
2019/11/8,307.799988,307.029999,309,308.940002,49032100,0
2019/11/11,307.420013,307.269989,308.540009,308.350006,35797300,0
2019/11/12,308.75,308.149994,309.98999,309,46484600,0
2019/11/13,307.910004,307.660004,309.540009,309.100006,53917700,0
2019/11/14,308.790009,308.089996,309.640015,309.549988,51219900,0
2019/11/15,311.019989,310.26001,311.839996,311.790009,62023600,0
2019/11/18,311.529999,311.029999,312.279999,312.019989,49228000,0
2019/11/19,312.679993,311.220001,312.690002,311.929993,67804700,0
2019/11/20,311.279999,309.059998,311.850006,310.769989,79406200,0
2019/11/21,310.890015,309.390015,311.01001,310.269989,54664700,0
2019/11/22,311.089996,309.850006,311.23999,310.959991,44850200,0
2019/11/25,311.980011,311.980011,313.369995,313.369995,48647200,0
2019/11/26,313.410004,313.059998,314.279999,314.079987,37569000,0
2019/11/27,314.609985,314.369995,315.480011,315.480011,44444600,0
2019/11/29,314.859985,314.059998,315.130005,314.309998,36592700,0
2019/12/2,314.589996,311.170013,314.660004,311.640015,75767800,0
2019/12/3,308.649994,307.130005,309.640015,309.549988,73941700,0
2019/12/4,310.700012,310.320007,312.119995,311.459991,49080000,0
2019/12/5,312.230011,310.579987,312.25,312.019989,40709000,0
2019/12/6,314.119995,314.109985,315.309998,314.869995,48927000,0
2019/12/9,314.440002,313.799988,315.179993,313.880005,34838500,0
2019/12/10,313.820007,312.809998,314.549988,313.529999,52649800,0
2019/12/11,314.029999,313.440002,314.700012,314.420013,53429100,0
2019/12/12,314.429993,314.170013,317.98999,317.130005,96389600,0
2019/12/13,316.869995,316.019989,318.670013,317.320007,81503900,0
2019/12/16,319.220001,317.25,320.149994,319.5,82749700,0
2019/12/17,319.920013,319.480011,320.25,319.570007,61097700,0
2019/12/18,320,319.529999,320.25,319.589996,48133000,0
2019/12/19,319.799988,319.519989,320.980011,320.899994,85310500,0
2019/12/20,320.459991,319.390015,321.970001,320.730011,147142100,0
2019/12/23,321.589996,321.059998,321.649994,321.220001,52990000,0
2019/12/24,321.470001,320.899994,321.519989,321.230011,20270000,0
2019/12/26,321.649994,321.640015,322.950012,322.940002,30911200,0
2019/12/27,323.73999,322.279999,323.799988,322.859985,42528800,0
2019/12/30,322.950012,320.549988,323.100006,321.079987,49729100,0
2019/12/31,320.529999,320.149994,322.130005,321.859985,57077300,0
2020/1/2,323.540009,322.529999,324.890015,324.869995,59151200,0
2020/1/3,321.160004,321.100006,323.640015,322.410004,77709700,0
2020/1/6,320.48999,320.359985,323.730011,323.640015,55653900,0
2020/1/7,323.019989,322.23999,323.540009,322.730011,40496400,0
2020/1/8,322.940002,322.670013,325.779999,324.450012,68296000,0
2020/1/9,326.160004,325.519989,326.730011,326.649994,48473300,0
2020/1/10,327.290009,325.200012,327.459991,325.709991,53029300,0
2020/1/13,326.390015,325.920013,327.959991,327.950012,47086800,0
2020/1/14,327.470001,326.839996,328.619995,327.450012,62832800,0
2020/1/15,327.350006,327.26001,329.019989,328.190002,72056600,0
2020/1/16,329.700012,329.450012,330.920013,330.920013,54050300,0
2020/1/17,331.700012,330.850006,332.179993,331.950012,95846000,0
2020/1/21,330.899994,330.820007,332.179993,331.299988,77742400,0
2020/1/22,332.23999,331.170013,332.950012,331.339996,48914900,0
2020/1/23,330.630005,329.410004,332.170013,331.720001,51963000,0
2020/1/24,332.440002,327.359985,332.529999,328.769989,87578400,0
2020/1/27,323.029999,322.660004,325.119995,323.5,84062500,0
2020/1/28,325.059998,323.600006,327.850006,326.890015,63834000,0
2020/1/29,328.380005,326.399994,328.630005,326.619995,53888900,0
2020/1/30,324.359985,323.540009,327.910004,327.679993,75491800,0
2020/1/31,327,320.730011,327.170013,321.730011,113845600,0
2020/2/3,323.350006,323.220001,326.160004,324.119995,69083000,0
2020/2/4,328.070007,327.720001,330.01001,329.059998,62573200,0
2020/2/5,332.269989,330.670013,333.089996,332.859985,65951100,0
2020/2/6,333.910004,332.799988,334.190002,333.980011,50359700,0
2020/2/7,332.820007,331.600006,333.98999,332.200012,64139400,0
2020/2/10,331.230011,331.190002,334.75,334.679993,42070000,0
2020/2/11,336.160004,334.679993,337.019989,335.26001,54864500,0
2020/2/12,336.829987,336.429993,337.649994,337.420013,43992700,0
2020/2/13,335.859985,335.559998,338.119995,337.059998,54501900,0
2020/2/14,337.51001,336.200012,337.730011,337.600006,64582200,0
2020/2/18,336.51001,335.209991,337.670013,336.730011,57226200,0
2020/2/19,337.790009,337.480011,339.079987,338.339996,48814700,0
2020/2/20,337.73999,333.679993,338.640015,336.950012,74163400,0
2020/2/21,335.470001,332.579987,335.809998,333.480011,113788200,0
2020/2/24,323.140015,321.23999,333.559998,322.420013,161088400,0
2020/2/25,323.940002,311.690002,324.609985,312.649994,218913200,0
2020/2/26,314.179993,310.700012,318.109985,311.5,194773800,0
2020/2/27,305.459991,297.51001,311.559998,297.51001,284353500,0
2020/2/28,288.700012,285.540009,297.890015,296.26001,384975800,0
2020/3/2,298.209991,294.459991,309.160004,309.089996,238703600,0
2020/3/3,309.5,297.570007,313.839996,300.23999,300139100,0
2020/3/4,306.119995,303.329987,313.100006,312.859985,176613400,0
2020/3/5,304.980011,300.01001,308.470001,302.459991,186366800,0
2020/3/6,293.149994,290.230011,298.779999,297.459991,228667200,0
2020/3/9,275.299988,273.450012,284.190002,274.230011,309417300,0
2020/3/10,284.640015,273.5,288.519989,288.420013,276444100,0
2020/3/11,280.700012,270.880005,281.940002,274.359985,255316300,0
